"TRANSACCIONES POR HORA"
"Trans_HORA 00","Trans_HORA 01","Trans_HORA 02","Trans_HORA 03","Trans_HORA 04","Trans_HORA 05","Trans_HORA 06","Trans_HORA 07","Trans_HORA 08","Trans_HORA 09","Trans_HORA 10","Trans_HORA 11","Trans_HORA 12","Trans_HORA 13","Trans_HORA 14","Trans_HORA 15","Trans_HORA 16","Trans_HORA 17","Trans_HORA 18","Trans_HORA 19","Trans_HORA 20","Trans_HORA 21","Trans_HORA 22","Trans_HORA 23","Trans_HORA 24"
2348,1006,759,2330,15071,35013,40407,29895,28255,28464,27477,27878,27327,28558,35254,40382,40532,35510,76954,19323,15142,10728,6029,40


"PASAJEROS POR HORA"
"NumPjero_HORA 00","NumPjero_HORA 01","NumPjero_HORA 02","NumPjero_HORA 03","NumPjero_HORA 04","NumPjero_HORA 05","NumPjero_HORA 06","NumPjero_HORA 07","NumPjero_HORA 08","NumPjero_HORA 09","NumPjero_HORA 10","NumPjero_HORA 11","NumPjero_HORA 12","NumPjero_HORA 13","NumPjero_HORA 14","NumPjero_HORA 15","NumPjero_HORA 16","NumPjero_HORA 17","NumPjero_HORA 18","NumPjero_HORA 19","NumPjero_HORA 20","NumPjero_HORA 21","NumPjero_HORA 22","NumPjero_HORA 23","NumPjero_HORA 24"
2348,1006,759,2330,15071,35013,40407,29895,28255,28464,27477,27878,27327,28558,35254,40382,40532,35510,76954,19323,15142,10728,6029,40


"CANTIDAD DE BUSES POR HORA"
"NumBus_HORA 00","NumBus_HORA 01","NumBus_HORA 02","NumBus_HORA 03","NumBus_HORA 04","NumBus_HORA 05","NumBus_HORA 06","NumBus_HORA 07","NumBus_HORA 08","NumBus_HORA 09","NumBus_HORA 10","NumBus_HORA 11","NumBus_HORA 12","NumBus_HORA 13","NumBus_HORA 14","NumBus_HORA 15","NumBus_HORA 16","NumBus_HORA 17","NumBus_HORA 18","NumBus_HORA 19","NumBus_HORA 20","NumBus_HORA 21","NumBus_HORA 22","NumBus_HORA 23","NumBus_HORA 24"
117,70,65,135,418,725,926,856,786,795,770,775,757,770,815,891,897,904,903,638,490,380,256,18


"30 BUSES QUE MAS TRANSPORTAN PERSONAS AL DIA"
bus,cantidad_pasajeros
15508,15646
15524,11990
15008,11427
15512,8916
15518,8838
15525,8597
15526,5744
15519,4767
15511,4622
15513,4584
15023,4518
15022,4121
15509,3082
15515,3005
15517,2786
15013,2532
15521,2467
15510,2344
1042,1162
649,1152
407,1128
7,1110
884,1083
233,1061
209,1056
534,1042
747,1032
219,1027
15516,1024
710,1024
